id,question,answer_pred,answer_gold,em,f1,gold_hit,latency_ms,method,question_final,passages_used,loops,rewrites
w1,What is a transformer model?,"A transformer model is a neural network architecture using self-attention mechanisms to model token relationships, enabling parallel computation and dominating large language models.",self-attention,0.0,0.15384615384615385,1.0,14510.150166999665,baseline,,,,
w2,What is gradient descent used for?,Gradient descent is used to minimize loss functions in machine learning models by updating parameters using gradients.,minimize,0.0,0.1111111111111111,1.0,9361.317375005456,baseline,,,,
w3,What does a database index improve?,A database index improves the speed of data retrieval operations.,query,0.0,0.0,0.0,7364.682290994097,baseline,,,,
w4,What is overfitting in machine learning?,"Overfitting occurs when a model learns noise and spurious patterns in training data, leading to poor generalization.",generalization,0.0,0.1111111111111111,1.0,8393.894833992817,baseline,,,,
w5,What is a vector database used for?,,similarity,0.0,0.0,0.0,11714.448665996315,baseline,,,,
w1,What is a transformer model?,"A transformer model is a neural network architecture that uses self-attention mechanisms to model relationships between tokens in a sequence, enabling parallel computation and becoming dominant for large language models [1].",self-attention,0.0,0.11764705882352941,1.0,74122.48354199983,self_rag,What is a transformer model?,1.0,1.0,0.0
w2,What is gradient descent used for?,,minimize,0.0,0.0,0.0,55049.47012499906,self_rag,What is gradient descent used for?,2.0,1.0,0.0
w3,What does a database index improve?,A database index improves the speed of data retrieval operations.,query,0.0,0.0,0.0,47202.989750003326,self_rag,What does a database index improve?,2.0,1.0,0.0
w4,What is overfitting in machine learning?,"Overfitting is when a model learns noise and spurious patterns in training data, leading to poor generalization.",generalization,0.0,0.1111111111111111,1.0,52844.651333012735,self_rag,What is overfitting in machine learning?,1.0,1.0,0.0
w5,What is a vector database used for?,"A vector database is used for storing embeddings and enabling efficient similarity search, such as nearest-neighbor queries over high-dimensional vectors [1], and it is applied in recommendation systems, semantic search, and retrieval-augmented generation [2].",similarity,0.0,0.052631578947368425,1.0,60588.47462499398,self_rag,What is a vector database used for?,2.0,1.0,0.0
